Timestamp,Solar Radiation
2024-03-01 17:50:00,71.23
2024-03-01 18:00:00,52.49
2024-03-01 18:10:00,35.68
2024-03-01 18:20:00,14.47
2024-03-01 18:30:00,3.994
2024-03-01 18:40:00,1.616
2024-03-01 18:50:00,0.258
2024-03-01 19:00:00,0.017
2024-03-01 19:10:00,0.0
2024-03-01 19:20:00,0.0
2024-03-01 19:30:00,0.0
2024-03-01 19:40:00,0.001
2024-03-01 19:50:00,0.0
2024-03-01 20:00:00,0.0
2024-03-01 20:10:00,0.0
2024-03-01 20:20:00,0.001
2024-03-01 20:30:00,0.0
2024-03-01 20:40:00,0.0
2024-03-01 20:50:00,0.0
2024-03-01 21:00:00,0.0
2024-03-01 21:10:00,0.0
2024-03-01 21:20:00,0.0
2024-03-01 21:30:00,0.0
2024-03-01 21:40:00,0.0
2024-03-01 21:50:00,0.0
2024-03-01 22:00:00,0.0
2024-03-01 22:10:00,0.0
2024-03-01 22:20:00,0.0
2024-03-01 22:30:00,0.0
2024-03-01 22:40:00,0.0
2024-03-01 22:50:00,0.0
2024-03-01 23:00:00,0.0
2024-03-01 23:10:00,0.0
2024-03-01 23:20:00,0.0
2024-03-01 23:30:00,0.0
2024-03-01 23:40:00,0.0
2024-03-01 23:50:00,0.0
2024-03-02 00:00:00,0.0
2024-03-02 00:10:00,0.0
2024-03-02 00:20:00,0.0
2024-03-02 00:30:00,0.0
2024-03-02 00:40:00,0.0
2024-03-02 00:50:00,0.0
2024-03-02 01:00:00,0.0
2024-03-02 01:10:00,0.0
2024-03-02 01:20:00,0.0
2024-03-02 01:30:00,0.0
2024-03-02 01:40:00,0.0
2024-03-02 01:50:00,0.0
2024-03-02 02:00:00,0.0
2024-03-02 02:10:00,0.0
2024-03-02 02:20:00,0.0
2024-03-02 02:30:00,0.0
2024-03-02 02:40:00,0.0
2024-03-02 02:50:00,0.0
2024-03-02 03:00:00,0.0
2024-03-02 03:10:00,0.0
2024-03-02 03:20:00,0.0
2024-03-02 03:30:00,0.0
2024-03-02 03:40:00,0.0
2024-03-02 03:50:00,0.0
2024-03-02 04:00:00,0.0
2024-03-02 04:10:00,0.0
2024-03-02 04:20:00,0.0
2024-03-02 04:30:00,0.0
2024-03-02 04:40:00,0.0
2024-03-02 04:50:00,0.0
2024-03-02 05:00:00,0.0
2024-03-02 05:10:00,0.0
2024-03-02 05:20:00,0.0
2024-03-02 05:30:00,0.002
2024-03-02 05:40:00,0.049
2024-03-02 05:50:00,0.603
2024-03-02 06:00:00,2.08
2024-03-02 06:10:00,7.631
2024-03-02 06:20:00,14.68
2024-03-02 06:30:00,22.64
2024-03-02 06:40:00,67.58
2024-03-02 06:50:00,94.5
2024-03-02 07:00:00,126.8
2024-03-02 07:10:00,160.7
2024-03-02 07:20:00,201.6
2024-03-02 07:30:00,233.0
2024-03-02 07:40:00,263.1
2024-03-02 07:50:00,304.0
2024-03-02 08:00:00,341.5
2024-03-02 08:10:00,371.4
2024-03-02 08:20:00,421.0
2024-03-02 08:30:00,462.4
2024-03-02 08:40:00,480.2
2024-03-02 08:50:00,531.5
2024-03-02 09:00:00,572.7
2024-03-02 09:10:00,598.3
2024-03-02 09:20:00,635.7
2024-03-02 09:30:00,664.8
2024-03-02 09:40:00,699.0
2024-03-02 09:50:00,726.2
2024-03-02 10:00:00,756.4
2024-03-02 10:10:00,781.9
2024-03-02 10:20:00,807.0
2024-03-02 10:30:00,838.0
2024-03-02 10:40:00,864.0
2024-03-02 10:50:00,887.0
2024-03-02 11:00:00,892.0
