Timestamp,VWSGstrain0.5T,VWSGstrain0.5B,VWSGstrain1T,VWSGstrain1B,VWSGstrain2T,VWSGstrain2B,VWSGstrain4T,VWSGstrain4B
2024-02-22 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-22 07:10:00,0.892573491422354,0.5742454780702246,1.014966788968195,0.5547941847571565,0.634106294915,0.26162275134856827,0.5258157433386259,0.45337046663735237
2024-02-22 07:20:00,1.7097537935887885,1.197018874812784,1.7786033139950632,1.0893564135994893,1.3088783020220944,0.7014514102634166,1.1371927284421872,0.8024826917067003
2024-02-22 07:30:00,2.412498843253161,1.758666401710343,2.390321038015827,1.7521306967555574,1.6135031144763161,1.088603298328053,1.5549956224185735,1.2190274690524348
2024-02-22 07:40:00,3.050307307606545,2.3839990225251313,3.0955286326052374,2.3488767489725433,2.1599884338502306,1.4255780727635283,1.9404528343793572,1.7004747453238451
2024-02-22 07:50:00,3.4231177565684447,3.0403118201015786,3.9022008499728145,2.9085721789983836,2.7415691844262255,1.5648917525577417,2.3204384787732124,2.257653437078261
2024-02-22 08:00:00,3.9365461687225434,3.712462810119632,4.878180897859693,3.5408424249740165,3.287632688049598,1.8039918832587318,3.012054757992246,2.6660295332994792
2024-02-22 08:10:00,4.597444329303471,4.2373921269741,5.642961234049835,4.181895291254477,4.043998942534927,2.2665308985210686,3.757532860028732,3.1253267701490586
2024-02-22 08:20:00,5.2398339878918705,4.903628013889829,6.325977284582677,4.682611855224877,4.332674483028313,2.757979444159446,4.156588133522746,3.5267634843330598
2024-02-22 08:30:00,6.031615346758372,5.550542661615054,6.635744857204372,5.285510955638983,4.707590404650546,3.2231047824739107,4.650405303417301,3.9867627547650955
2024-02-22 08:40:00,6.443038117533433,6.2551423414793135,6.920477456514618,5.87861639944731,5.280592219652135,3.6945448372707688,5.031799140350813,4.415618115881898
2024-02-22 08:50:00,6.965414312939629,6.989550799247354,7.390379318948362,6.505457872633997,5.814160065628585,4.084406108840994,5.470067696779097,4.868049133088789
2024-02-22 09:00:00,7.686781086825249,7.580909294599678,7.821819726942977,7.0203391892300715,6.405107245209365,4.4429004974649615,5.9016462889603645,5.37142659064375
2024-02-22 09:10:00,8.530970401449395,8.15231337206842,8.36391777955032,7.488247969437907,7.033976237459683,4.839090583140205,6.384613962039566,5.825838878171908
2024-02-22 09:20:00,9.439140183671952,8.732270739249088,8.91095879630575,7.957361716548348,7.62341026278591,5.184444537596846,6.897583868877518,6.233184387075198
2024-02-22 09:30:00,10.10315642294654,9.325638081405941,9.470279947613562,8.461940289661015,8.121621594812495,5.497792383708656,7.183742621141846,6.610003536174645
2024-02-22 09:40:00,10.649431223494503,9.935453822038653,9.93489556271561,8.97353847911063,8.784131363075176,5.957483286815659,7.402651792627239,7.070875246696232
2024-02-22 09:50:00,11.172812735416755,10.60056422959542,10.429509389956365,9.49099683751865,9.243490317532178,6.419094468149979,7.676606152077511,7.508863388386089
2024-02-22 10:00:00,11.750200343501092,11.174104831546629,10.850179802110688,9.952747230361638,9.849914306923893,6.802227966985356,8.069827654955589,7.866662235184322
2024-02-22 10:10:00,12.405181093682131,11.887928217781791,11.351601863993892,10.416863771567932,10.468671569992694,7.238779453891766,8.3480960814436,8.293247367669665
2024-02-22 10:20:00,13.027978631191672,12.494387048629505,11.752160547779113,10.894385220729419,10.997827853340368,7.525225149109701,8.698550655297822,8.60078942760083
2024-02-22 10:30:00,13.552818886750174,13.070554819510107,12.043271699750221,11.41378501177951,11.533173034238189,7.936701248981535,9.04107561255023,8.985398288462875
2024-02-22 10:40:00,14.126724197131352,13.66257116094448,12.623704795563754,11.849564600464419,12.089195658043081,8.208102821107786,9.396467572935762,9.401873328457896
2024-02-22 10:50:00,14.611331265320132,14.280157945490828,13.236619882370178,12.32664141102623,12.582875143742513,8.443076367309004,9.652168101471943,9.665528376438033
2024-02-22 11:00:00,15.197133937351737,14.888096521010084,13.811059749658398,12.730536056953042,13.212030893486826,8.782359600518248,10.156874719883945,10.098610021051172
2024-02-22 11:10:00,15.694865127938101,15.388588091718702,14.38923009572136,13.176891994743073,13.763239619333035,9.119777396994778,10.51723269491049,10.508792518554856
2024-02-22 11:20:00,16.26029561202722,15.828378124254868,14.99805644893604,13.70175973477808,14.316743959980158,9.419511164036066,10.797459283929584,10.8533928757588
2024-02-22 11:30:00,16.85433710399002,16.421300102431815,15.480269744710768,14.18308205966423,14.903207690341333,9.702292912147186,11.25637612014998,11.160428647720437
2024-02-22 11:40:00,17.40001575111637,16.92193170445944,15.890306321271964,14.592939988357557,15.370982650726091,10.035364456633943,11.549490824498207,11.524815046770982
2024-02-22 11:50:00,18.0575065580083,17.40437967692833,16.333424598517468,15.053997479418285,15.790849640620308,10.381653227441802,11.904431185976591,11.902602525462044
2024-02-22 12:00:00,18.728734164880734,17.82488532395473,16.71659122775327,15.518004758139796,16.22302352685574,10.648139810293287,12.301624063059535,12.19248924068279
2024-02-22 12:10:00,19.325515981918215,18.197412199323935,17.025102383287503,15.944254737404663,16.600023705588228,10.934752097167802,12.67313829044815,12.632124262994694
2024-02-22 12:20:00,19.9763957522905,18.669640046563927,17.343425469699014,16.31819821570798,17.070759424587322,11.19372085164423,13.168937266509602,12.976208814662641
2024-02-22 12:30:00,20.457771389509162,19.0628903901802,17.77502718963433,16.72881207538012,17.504168714453044,11.5715088751017,13.41073180322519,13.225363772582568
2024-02-22 12:40:00,21.047899919778956,19.605099366302966,18.185232887709844,17.140622849554347,17.929250509162102,11.822333324673764,13.90843311474282,13.540167619003569
